Customer_ID,Gender,Age,Married,Dependents,Education,Self_Employed,Income,Coapplicant_Income,Loan_Amount,Loan_Term,Credit_History,Property_Area,Employment_Years,Loan_Approved
C001,Female,36,Yes,1,Graduate,Yes,1909,4837,296,120,0,Urban,2,0
C002,Male,56,Yes,4,Not Graduate,Yes,5311,3679,381,240,0,Urban,24,0
C003,Female,38,Yes,1,Not Graduate,Yes,8424,759,274,120,0,Semiurban,11,0
C004,Female,55,Yes,3,Graduate,No,2211,2962,375,180,1,Rural,2,0
C005,Female,26,Yes,0,Not Graduate,No,5233,3714,266,180,0,Semiurban,11,0
C006,Male,59,Yes,4,Graduate,Yes,5874,3786,274,240,0,Rural,22,0
C007,Male,35,Yes,2,Not Graduate,No,6813,542,188,240,0,Urban,20,0
C008,Female,30,No,1,Graduate,No,7982,4788,299,360,1,Semiurban,7,1
C009,Female,26,Yes,0,Graduate,Yes,9848,3458,385,120,0,Semiurban,12,0
C010,Female,56,Yes,0,Not Graduate,No,10169,913,230,360,1,Urban,14,1
C011,Male,53,Yes,2,Graduate,Yes,5815,3063,162,120,0,Rural,10,0
C012,Male,44,No,1,Graduate,Yes,1819,4647,120,120,1,Rural,15,0
C013,Male,29,No,4,Graduate,No,10227,4322,390,360,0,Urban,17,0
C014,Female,44,No,4,Not Graduate,Yes,6607,2030,195,120,0,Semiurban,0,0
C015,Male,21,Yes,0,Graduate,Yes,11141,257,249,120,0,Rural,7,0
C016,Male,55,Yes,4,Not Graduate,Yes,9453,3874,288,180,1,Urban,3,1
C017,Female,47,No,0,Graduate,Yes,7304,3298,253,120,1,Urban,6,1
C018,Female,29,No,1,Not Graduate,No,10286,2046,118,360,0,Rural,3,0
C019,Male,26,Yes,1,Not Graduate,No,10356,3943,189,360,0,Urban,5,0
C020,Female,37,No,2,Not Graduate,No,1535,1268,177,240,1,Urban,1,0
C021,Male,24,No,4,Graduate,Yes,6638,4160,121,180,0,Urban,19,0
C022,Female,28,Yes,4,Graduate,Yes,5353,3434,378,240,0,Semiurban,6,0
C023,Female,46,Yes,2,Not Graduate,No,5410,594,84,360,1,Rural,18,1
C024,Male,53,No,1,Not Graduate,Yes,2700,2001,269,240,0,Urban,14,0
C025,Male,56,No,0,Graduate,No,11521,945,134,180,1,Semiurban,9,1
C026,Male,37,No,2,Graduate,Yes,7117,3469,221,120,0,Urban,10,0
C027,Female,31,No,4,Not Graduate,Yes,11938,916,118,180,0,Rural,1,0
C028,Male,48,Yes,0,Not Graduate,No,11043,326,263,180,1,Rural,7,1
